 ,Sale,Broker,Lot #,Desc,Bales,Micron,Y,Y-Z,VM,SD1%,cln kg,Valuation,,Style,Letter Length,Letter helper,,Length ,Comment,LimitGroup,,,,Limits (COF / GSY),X,GSY,COF,Status,Buyer,Allocation
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,    /    ,,,,,,
