 ,Sale,Broker,Lot #,Desc,Bales,Micron,Y,Y-Z,VM,SD1%,cln kg,Valuation,,Style,Letter Length,Letter helper,,Length ,Comment,LimitGroup,,,,Limits (COF / GSY),X,GSY,COF,Status,Buyer,Allocation
2,L36,PGD,      31,X LBS CRT A,4,31.5,59.1,3.5,0,69.4,409,908/9 K,908/9 K,908/9,K,K,68,68,D1,,,,,    /    ,,1.08,1.556195965,P,WSI,
2,L36,PGD,      32,X LOXS A,11,34.4,52.1,8.7,0,65.7,1287,549/70 K-,549/70 K-,549/70,K-,K,68,68,608+,607/8 K,,,,175    /  115  ,,1.15,1.750380518,S,MAS,
2,L36,PGD,      33,X FRIBS,4,34.4,41.2,13.4,0.1,61.3,417,Y652 J,Y652 J,Y652,J,J,74,74,LM,608 J,,,,131    /  80  ,,0.58,0.946166395,S,WSI,
3,C36,PGD,    3001,COR LBS A,13,24,70.5,-1.7,0.8,67.7,1424,721,721,721,,,,60,VM,,,,,    /    ,,6,8.862629247,S,STD,
3,C36,PGD,    3002,DNX LBS A,9,25.6,68,-0.1,0.7,70.5,837,726 BF,726 BF,726,BF,B,,48,VM,,,,,    /    ,,4,5.673758865,S,FUHR,
3,C36,PGD,    3003,COR LBS A,3,24.9,66.3,-0.6,0.4,63.7,369,721/2,721/2,721/2,,,,46,V2,721,,,,1030    /  656  ,,5.6,8.791208791,S,CHG,
3,C36,PGD,    3004,X A,10,34.1,65,4.7,0.8,66.8,1124,"114- G,ST",114- G,114-,G,G,90,90,"V3,D",,,,,    /    ,,1.63,2.44011976,S,WSI,
3,C36,PGD,    3005,ROM A,5,35.9,65.6,2.6,0.1,73.2,562,"114 I/G,OT",114 I/G,114,I/G,I,82,86,,128 G,128 I,,,254  254  /  186  186,,1.87,2.554644809,S,WSI,
3,C36,PGD,    3006,COR LBS A,6,23.8,69.9,-1.5,0.3,69.2,622,721,721,721,,,,56,V1,721,,,,1220    /  844  ,,7.55,10.91040462,S,CHG,
3,C36,PGD,    3007,X A,10,36.6,62.6,6.5,0.5,73.9,885,"4 F,OT",4 F,4,F,F,100,98,V2,,,,,    /    ,,1.75,2.368064953,S,FUHR,
3,C36,PGD,    3008,M ROM AA,18,35.6,66.3,1.5,0.3,77.6,2652,"114+ I/G,OT",114+ I/G,114+,I/G,I,82,90,,127/8 G,127/8 I,,,269  265  /  209  206,,1.99,2.56443299,S,WSI,
3,C36,PGD,    3009,ROM B/P A,5,34.9,63.9,5.7,0.6,65.8,480,607+ I,607+ I,607+,I,I,72,70,89+,,,,,    /    ,,1.28,1.945288754,S,B+B,
3,C36,PGD,    3010,X LBS A,4,29.3,68.1,-0.1,0.1,77.8,573,730,730,730,,,,60,,726,730,,,407  407  /  317  317,x,3.19,4.100257069,S,B+B,
3,C36,PGD,    3011,1/2 LBS A,18,26.4,67.5,0.3,0.2,76.3,1653,726- OBF,726-,726-,,,,56,,,,,,    /    ,,4,5.242463958,S,CHG,
3,C36,PGD,    3012,X H A,8,32.8,65.7,2.4,0.1,80,764,107 M,107 M,107,M,M,75,75,,,,,,    /    ,,1.95,2.4375,P,WSI,
3,C36,PGD,    3013,ROM LBS A,4,31,68.6,0.1,0.2,74.9,525,WITHDRAWN,WITHDRAWN,WITHDRAWN,,,,62,,734,,,,280    /  210  ,,,,,,
3,C36,PGD,    3014,X LBS A,17,29.2,67.3,0.4,0.1,78.8,2337,730,730,730,,,,64,,L29.5,726,,,434  412  /  342  325,,3.3,4.187817259,S,B+B,
4,C36,PGD,    3018,ROM LBS A,12,29,67.8,0,0.2,76.2,1695,730,730,730,,,,62,,726,730,,,420  420  /  320  320,,3.12,4.094488189,S,CHG,
4,C36,PGD,    3019,X A,4,33.3,66.2,1.9,0.5,72.7,360,PER106/7 M,PER106/7 M,PER106/7,M,M,75,75,V2,,,,,    /    ,,1.84,2.530949106,S,MAS,
4,C36,PGD,    3020,X A,17,34.2,65.3,1.7,0.4,74.7,2369,"114+ I,OT",114+ I,114+,I,I,82,80,,107 G,128 I,,,304  266  /  227  199,,1.93,2.583668005,S,FUHR,
4,C36,PGD,    3021,X DAGWOOL 144,50,35.3,47,9.9,0,71,4641,,,,,,,,"CHIP, AV/POOR",,,,,    /    ,,0.41,0.577464789,P,FUHR,
4,C36,PGD,    3022,X LBS A,5,28.6,69.4,-0.8,0.5,77.1,664,730,730,730,,,,62,V2,,,,,    /    ,,2.93,3.800259403,S,GM,
4,C36,PGD,    3023,ROM LBS A,5,30.3,67.8,0.5,0.1,77,441,734,734,734,,,,62,,734,,,,347    /  267  ,,2.37,3.077922078,P,WSI,
4,C36,PGD,    3024,X LBS A,7,29.6,68,0.8,0.3,72.3,854,730,730,730,,,,60,V1,726,730,,,393  393  /  284  284,x,2.57,3.554633472,S,JMCO,13461
4,C36,PGD,    3025,X LBS A,4,30.2,67,1.1,0.1,73.3,509,734,734,734,,,,62,,734,,,,353    /  259  ,,2.66,3.628922237,S,GM,
4,C36,PGD,    3026,X 2TH 2/S A,16,37.5,65.5,2.5,0.3,79.5,2322,114+ M,114+ M,114+,M,M,75,72,,127/8 J,,,,250    /  199  ,,1.88,2.364779874,S,MAS,
4,C36,PGD,    3027,X DAGWOOL 142,50,34.4,46.2,10.5,0,75.5,4773,,,,,,,,"POOR, CHIP",,,,,    /    ,,0.3,0.397350993,P,CHG,
4,C36,PGD,    3028,X DAGWOOL 143,50,34.2,47.8,10.5,0,77.8,5004,,,,,,,,AV/POOR,,,,,    /    ,,0.58,0.745501285,S,MAS,
5,I36,PGD,    2001,ROM A,10,35.8,58.4,7.8,0.1,73.9,1328,"4 F,OT",4 F,4,F,F,100,96,,128/9F,,,,234    /  173  ,,1.66,2.246278755,S,FUHR,
5,I36,PGD,    2002,ROM B/P A,23,37.2,53.8,8.5,0.3,66,2755,607/8 J,607/8 J,607/8,J,J,64,65,89,607/8 J,,,,177    /  117  ,,1.2,1.818181818,S,MAS,
5,I36,PGD,    2003,ROM 2/S B/P A,12,37,55,7.5,0.1,69.1,1495,607- K,607- K,607-,K,K,58,58,89,607/8 K,,,,171    /  118  ,,1.21,1.751085384,S,FUHR,
5,I36,PGD,    2004,X H A,7,33.4,66.6,0.9,0,73.7,633,106/7 G+,106/7 G+,106/7,G+,G,90,90,,107 G,,,,324    /  239  ,,2.19,2.971506106,S,STD,
5,I36,PGD,    2005,X A,24,36.3,65.6,3.4,0.1,75.2,2982,"4+ F,ST",4+ F,4+,F,F,100,92,,128-F,128/9F,,,243  233  /  183  175,,1.79,2.380319149,S,WSI,
5,I36,PGD,    2006,X LBS A,13,30.3,69.4,-0.1,0,82.3,1513,734,734,734,,,,64,,L29.5,734,,,382  348  /  314  286,,2.86,3.47509113,S,FUHR,
5,I36,PGD,    2007,ROM AA,58,37,61.7,4.5,0.1,74.9,7861,"3- F,ST",3- F,3-,F,F,100,90,,128-F,128/9F,,,242  232  /  181  174,,1.81,2.416555407,S,MAS,
5,I36,PGD,    2008,ROM 2/S A,8,36.6,66.4,1.8,0.1,83.6,1211,114+ M,114+ M,114+,M,M,75,74,,127/8 J,,,,251    /  210  ,,2.09,2.5,S,CHG,
5,I36,PGD,    2009,X A,27,36.5,63.3,5.3,0.1,74.2,3084,"4 F,OT",4 F,4,F,F,100,95,,128/9F,,,,232    /  172  ,,1.76,2.371967655,S,FUHR,
5,I36,PGD,    2010,X B/P A,17,34.6,57.2,8.2,0,60.6,1683,607/8 J,607/8 J,607/8,J,J,64,64,89,607/8 J,,,,182    /  110  ,,1,1.650165017,S,WSI,
5,I36,PGD,    2011,PER AA,34,35.6,63.9,4.5,0.3,75.2,4270,"114- I/G,PT",114- I/G,114-,I/G,I,82,78,,128/9 G,,,,233    /  175  ,,1.84,2.446808511,S,CHG,
5,I36,PGD,    2012,PER AA,35,34.9,63.4,5.4,0.2,80.7,4909,"114/5 I+,PT",114/5 I+,114/5,I+,I,82,82,,,,,,    /    ,,1.92,2.379182156,S,MAS,
5,I36,PGD,    2013,PER A,7,35.2,61.4,8,0.4,75.3,912,"115 J+,PT",115 J+,115,J+,J,74,74,,,,,,    /    ,,1.61,2.13811421,S,FUHR,
5,I36,PGD,    2014,X A,44,36.9,63.8,2.6,0,79.3,6499,"3- F+,OT",3- F+,3-,F+,F,100,100,(2.6),,,,,    /    ,,1.98,2.496847415,S,FUHR,
5,I36,PGD,    2015,X CRT A,11,37.8,59.1,5.9,0,69.8,1246,699- J,699- J,699-,J,J,74,74,AT89,607 J,607 K,,,188  176  /  131  123,,1.25,1.790830946,S,B+B,
5,I36,PGD,    2016,X A,11,35.7,60.7,4.5,0.1,76.1,1498,"114- G,ST",114- G,114-,G,G,90,84,,128/9 G,,,,233    /  177  ,,1.7,2.23390276,P,WSI,
5,I36,PGD,    2017,X LBS A,4,31.8,68.1,0.1,0,83,598,734,734,734,,,,64,,L29.5,734,,,317  272  /  263  226,,2.23,2.686746988,P,FUHR,
6,I36,PGD,    2018,X A,28,37.7,64.1,4.1,0,78.4,2984,"4 F+,OT",4 F+,4,F+,F,100,98,,128/9F,,,,232    /  182  ,,1.82,2.321428571,S,WSI,
6,I36,PGD,    2019,ROM LBS A,6,32,67.6,-0.6,0,81.5,816,738,738,738,,,,66,,L29.5,734,,,315  270  /  257  220,,2.18,2.674846626,S,MAS,
6,I36,PGD,    2020,X LBS B/P A,5,30.1,61.2,3.9,0,76.3,495,756 P,756 P,756,P,P,60,60,,756,,,,229    /  175  ,,1.46,1.913499345,S,MAS,
6,I36,PGD,    2021,X LBS A,11,32.4,68.3,-0.3,0,80.2,1324,738-,738-,738-,,,,66,,L29.5,734,,,303  266  /  243  213,,2.08,2.593516209,S,WSI,
